country,country_name,Region
DJI,Djibouti,Middle East - North Africa
DNK,Denmark,Europe - Central Asia
DOM,Dominican Republic,Latin America - Caribbean
DZA,Algeria,Middle East - North Africa
ECU,Ecuador,Latin America - Caribbean
EGY,Egypt,Middle East - North Africa
ERI,Eritrea,Sub-Saharan Africa
ESP,Spain,Europe - Central Asia
EST,Estonia,Europe - Central Asia
ETH,Ethiopia,Sub-Saharan Africa
FIJ,Fiji,East Asia - Pacific
FIN,Finland,Europe - Central Asia
FJI,Fiji,East Asia - Pacific
FRA,France,Europe - Central Asia
GAB,Gabon,Sub-Saharan Africa
GBR,UK,Europe - Central Asia
GEO,Georgia,Europe - Central Asia
GER,Germany,Europe - Central Asia
GHA,Ghana,Sub-Saharan Africa
GIN,Guinea,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GRC,Greece,Europe - Central Asia
GRL,Greenland,Europe - Central Asia
GTM,Guatemala,Latin America - Caribbean
GUY,Guyana,Latin America - Caribbean
HKG,Hong Kong,East Asia - Pacific
HND,Honduras,Latin America - Caribbean
HRV,Croatia,Europe - Central Asia
HTI,Haiti,Latin America - Caribbean
HUN,Hungary,Europe - Central Asia
IDN,Indonesia,East Asia - Pacific
IND,India,South Asia
INO,Indonesia,East Asia - Pacific
IRE,Ireland,Europe - Central Asia
IRL,Ireland,Europe - Central Asia
IRN,Iran,Middle East - North Africa
IRQ,Iraq,Middle East - North Africa
ISL,Iceland,Europe - Central Asia
ISR,Israel,Middle East - North Africa
ITA,Italy,Europe - Central Asia
JAM,Jamaica,Latin America - Caribbean
JOR,Jordan,Middle East - North Africa
JPN,Japan,East Asia - Pacific
KAZ,Kazakhstan,Europe - Central Asia
KEN,Kenya,Sub-Saharan Africa
KGZ,Kyrgyzstan,Europe - Central Asia
KHM,Cambodia,East Asia - Pacific
KOR,South Korea,East Asia - Pacific
KWT,Kuwait,Middle East - North Africa
LAO,Laos,East Asia - Pacific
LBN,Lebanon,Middle East - North Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Middle East - North Africa
LIE,Liechtenstein,Europe - Central Asia
LKA,Sri Lanka,South Asia
LSO,Lesotho,Sub-Saharan Africa
LTU,Lithuania,Europe - Central Asia
LUX,Luxembourg,Europe - Central Asia
LVA,Latvia,Europe - Central Asia
MAC,Macao SAR,East Asia - Pacific
MAL,Malaysia,East Asia - Pacific
MAR,Morocco,Middle East - North Africa
MCO,Monaco,Europe - Central Asia
MDA,Moldova,Europe - Central Asia
MDG,Madagascar,Sub-Saharan Africa
MDV,Maldives,South Asia
MEX,Mexico,Latin America - Caribbean
MKD,TFYR Macedonia,Europe - Central Asia
MLD,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Middle East - North Africa
MMR,Myanmar,East Asia - Pacific
MNE,Montenegro,Europe - Central Asia
MNG,Mongolia,East Asia - Pacific
MON,Mongolia,East Asia - Pacific
MOZ,Mozambique,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia - Pacific
NAM,Namibia,Sub-Saharan Africa
NCL,New Caledonia,East Asia - Pacific
NEP,Nepal,South Asia
NER,Niger,Sub-Saharan Africa
NET,Netherlands,Europe - Central Asia
NGA,Nigeria,Sub-Saharan Africa
NIC,Nicaragua,Latin America - Caribbean
NLD,Netherlands,Europe - Central Asia
NOR,Norway,Europe - Central Asia
NPL,Nepal,South Asia
NZL,New Zealand,East Asia - Pacific
OMN,Oman,Middle East - North Africa
PAK,Pakistan,South Asia
PAN,Panama,Latin America - Caribbean
PER,Peru,Latin America - Caribbean
PHI,Philippines,East Asia - Pacific
PHL,Philippines,East Asia - Pacific
PNG,Papua New Guinea,East Asia - Pacific
POL,Poland,Europe - Central Asia
POR,Portugal,Europe - Central Asia
PRC,People's Republic of China,East Asia - Pacific
PRK,North Korea,East Asia - Pacific
PRT,Portugal,Europe - Central Asia
PRY,Paraguay,Latin America - Caribbean
PSE,Gaza Strip,Middle East - North Africa
PYF,French Polynesia,East Asia - Pacific
QAT,Qatar,Middle East - North Africa
ROM,Romania,Europe - Central Asia
ROU,Romania,Europe - Central Asia
RoW,Rest of World,Other
RUS,Russia,Europe - Central Asia
RWA,Rwanda,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East - North Africa
SDS,South Sudan,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SGP,Singapore,East Asia - Pacific
SIN,Singapore,East Asia - Pacific
SLE,Sierra Leone,Sub-Saharan Africa
SLV,El Salvador,Latin America - Caribbean
SMR,San Marino,Europe - Central Asia
SOM,Somalia,Sub-Saharan Africa
SPA,Spain,Europe - Central Asia
SRB,Serbia,Europe - Central Asia
SRI,Sri Lanka,South Asia
STP,Sao Tome and Principe,Sub-Saharan Africa
SUD,Sudan,Sub-Saharan Africa
SUR,Suriname,Latin America - Caribbean
SVK,Slovakia,Europe - Central Asia
SVN,Slovenia,Europe - Central Asia
SWE,Sweden,Europe - Central Asia
SWI,Switzerland,Sub-Saharan Africa
SWZ,Swaziland,Sub-Saharan Africa
SYC,Seychelles,Sub-Saharan Africa
SYR,Syria,Middle East - North Africa
TAP,"Taipei,China",East Asia - Pacific
TCD,Chad,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
THA,Thailand,East Asia - Pacific
TJK,Tajikistan,Europe - Central Asia
TKM,Turkmenistan,Europe - Central Asia
TTO,Trinidad and Tobago,Latin America - Caribbean
TUN,Tunisia,Middle East - North Africa
TUR,Turkey,Europe - Central Asia
TWN,Taiwan,East Asia - Pacific
TZA,Tanzania,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa
UKG,United Kingdom,Europe - Central Asia
UKR,Ukraine,Europe - Central Asia
URY,Uruguay,Latin America - Caribbean
USA,USA,North America
USR,Former USSR,Other
UZB,Uzbekistan,Europe - Central Asia
VEN,Venezuela,Latin America - Caribbean
VGB,British Virgin Islands,Latin America - Caribbean
VIE,Viet Nam,East Asia - Pacific
VNM,Viet Nam,East Asia - Pacific
VUT,Vanuatu,East Asia - Pacific
WSM,Samoa,East Asia - Pacific
YEM,Yemen,Middle East - North Africa
ZAF,South Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
